,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
10,Build error when parameter is overridden in mbed_app.json (for mbed libraries into project/lib),open,2020-02-05T02:53:24Z,2020-02-10T06:52:24Z,,NONE,"### Configuration

**Operating system**: Ubuntu 16.04.6 LTS

**PlatformIO Version** (`platformio --version`): version 4.1.1b9

### Description of problem

Currently it is possible to build mbed libraries in project/lib directory as PlatformIO can parse mbed_lib.json for each library and add macroses into mbed_config.h. The issue appears when you try to override parameters of those libraries through mbed_app.json. Build fails with error ""mbed build API internal error. Attempt to override undefined parameter"". It looks like currently it is only possible to override parameters of libraries which come with mbed by default.

#### Steps to Reproduce

1. clone https://github.com/edgrin/pio-mbed-lib-target-overrides/tree/a8b580c5deb6e36e74de38f5755cdb611166445f
2. try to build
3. see error Attempt to override undefined parameter 'newlib.param' in 'application[*]'
4. delete line 4 with '""newlib.param"": 2' in mbed_app.json
5. try to build
6. see successful build with newlib in Dependency Graph

### Actual Results

mbed build API internal error

### Expected Results

Successful build","Now script uses board id instead of environment id to separate different overrides. Also the script is simplified and instead of replacing defines with new values, it is just add the content of all found header files to the end of mbed_config.h. All inserted defines come with their #undef first. Maybe this temporary solution would be useful for someone else who also come across this issue.",19606299
11,Extend package manifest validation for platform and framework IDs,open,2020-01-29T12:24:45Z,2020-01-29T12:24:46Z,,MEMBER,https://github.com/platformio/platformio-core/blob/develop/platformio/package/manifest/schema.py#L152,,19606299
12,Use local packages instead of copying,open,2020-01-20T13:51:46Z,2020-02-04T17:34:54Z,,MEMBER,"Use local packages instead of copying for:
- lib_deps
- platform_packages


Install packages only in a case when `pio *** install` command is called",,19606299
13,Platform Monitor: dictionary changed size during iteration,open,2020-01-16T14:46:15Z,2020-03-17T12:10:11Z,,NONE,"BUG:

Platform IO Remote: OSX 10.15.2

When trying to connect to a remote target after upload the following error occurs:

Starting Serial Monitor on mini.local:/dev/cu.usbmodemFA1301
b'dictionary changed size during iteration'

Terminal will be reused by tasks, press any key to close it.

Closing and and trying again will then work.



","Hi @valeros 

ATSAMD21 - Arduino Core

Python 3.8.0


",19606299
14,MBed tests do not print to serial,open,2020-01-15T14:39:46Z,2020-02-06T18:41:11Z,,NONE,"What kind of issue is this?

- [X] **PlatformIO Core**.
      If you’ve found a bug, please provide an information below.

------------------------------------------------------------------

### Configuration

**Operating system**:

PlatformIO, version 4.1.0

### Description of problem

Tests does not output to serial port as expected on mbed os.

#### Steps to Reproduce

Create a embedded test with mbed os using the UNITY framework provided by platformio

### Actual Results

The test compile and runs on the board but does not output anything on serial port

### Expected Results

The test compile and runs on the board and output the results on the serial port

### If problems with PlatformIO Build System:

**The content of `platformio.ini`:**
```ini
[env:disco_f407vg]
framework = mbed
platform = ststm32
board = disco_f407vg
build_flags = -DPIO_FRAMEWORK_MBED_RTOS_PRESENT -std=gnu++11
build_unflags = -std=gnu++98
test_transport = custom
```

**Source file to reproduce issue:**
```cpp
#ifdef PIO_FRAMEWORK_MBED_RTOS_PRESENT
#include ""mbed.h""
#endif

#include ""unity.h""

void test_function_calculator_addition(void) {
  TEST_ASSERT_EQUAL(32, 32);
}

void test_function_calculator_subtraction(void) {
  TEST_ASSERT_EQUAL(20, 20);
}

void test_function_calculator_multiplication(void) {
  TEST_ASSERT_EQUAL(50, 50);
}

void test_function_calculator_division(void) {
  TEST_ASSERT_EQUAL(32, 32);
}

int main(int argc, char **argv) {
  #ifdef PIO_FRAMEWORK_MBED_RTOS_PRESENT
  wait(5);     // for ARM mbed framework
  #endif
  UNITY_BEGIN();
  RUN_TEST(test_function_calculator_addition);
  RUN_TEST(test_function_calculator_subtraction);
  RUN_TEST(test_function_calculator_multiplication);
  RUN_TEST(test_function_calculator_division);
  UNITY_END();
}
```

### Additional info

I was able to fix this issue by creating a .mbedignore on the mbed folder for the unity framework (features/framework/unity). 

When I include the unity.h file, the one that is included is from the mbed framework when I do not ignore it, so the modifications done by platformio to the macros variables that allow me to print to the serial port are not used.","@ivankravets Do you have some idea on how you want to proceed to solve this issue? I mean, remove the unity from the mbed framework, or just remove when it is compiling the tests? - Do you think to add an option on the `.json` file?",19606299
15,Windows: package install sometimes fails on shutil.move of temporary directory,open,2020-01-04T22:24:56Z,2020-02-03T17:54:19Z,,CONTRIBUTOR,"### Configuration

**Operating system**:
Windows 10 1909

**PlatformIO Version** (`platformio --version`):
PlatformIO, version 4.1.0 (?) / need confirmation

### Description of problem

Original issue (latest comment with traceback): https://github.com/xoseperez/espurna/issues/2006#issuecomment-570808154

```
CONFIGURATION: https://docs.platformio.org/page/boards/espressif8266/esp01_1m.html
PLATFORM: Espressif 8266 1.5.0 > Espressif Generic ESP8266 ESP-01 1M
HARDWARE: ESP8266 80MHz, 80KB RAM, 1MB Flash
PACKAGES: toolchain-xtensa 1.40802.0 (4.8.2), framework-arduinoespressif8266 1.20300.1 (2.3.0), tool-esptool 1.409.0 (4.9)
Converting espurna.ino
LDF: Library Dependency Finder -> http://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Unicode decode error has occurred, please remove invalid (non-ASCII or non-UTF8) characters from C:\Users\internet\.platformio\packages\framework-arduinoespressif8266@1.20300.1\libraries\ESP8266HTTPUpdateServer\library.properties file
Unicode decode error has occurred, please remove invalid (non-ASCII or non-UTF8) characters from C:\Users\internet\.platformio\packages\framework-arduinoespressif8266@1.20300.1\libraries\ESP8266HTTPUpdateServer\library.properties file
Looking for Embedis library in registry
Found: https://platformio.org/lib/show/408/Embedis
LibraryManager: Installing id=408
Using cache: C:\Users\internet\.platformio\.cache\cc\338ee11d777d75e24f4008826cd592cc
Embedis @ 1.2.0 has been successfully installed!
LibraryManager: Installing espsoftwareserial
git version 2.24.0.windows.2
Cloning into 'D:\mcdev\vscode\espurna\code\.pio\libdeps\generic-esp01s-relay-40-inv\_tmp_installing-16pyir93-package'...
Note: switching to '5378868de76e1a38d34e0fc888d26e3612a5497d'.

You are in 'detached HEAD' state. You can look around, make experimental
changes and commit them, and you can discard any commits you make in this
state without impacting any branches by switching back to a branch.

If you want to create a new branch to retain commits you create, you may
do so (now or later) by using -c with the switch command. Example:

  git switch -c <new-branch-name>

Or undo this operation with:

  git switch -

Turn off this advice by setting config variable advice.detachedHead to false

PermissionError: [WinError 5] Zugriff verweigert: 'D:\\mcdev\\vscode\\espurna\\code\\.pio\\libdeps\\generic-esp01s-relay-40-inv\\_tmp_installing-16pyir93-package\\.git\\objects\\21\\452c9bf32fc95f03c8adb16ad3382d92f0994e':
  File ""C:\users\internet\.platformio\penv\lib\site-packages\platformio\builder\main.py"", line 151:
    env.SConscript(""$BUILD_SCRIPT"")
  File ""C:\Users\internet\.platformio\packages\tool-scons\script\..\engine\SCons\Script\SConscript.py"", line 605:
    return _SConscript(self.fs, *files, **subst_kw)
  File ""C:\Users\internet\.platformio\packages\tool-scons\script\..\engine\SCons\Script\SConscript.py"", line 286:
    exec(compile(scriptdata, scriptname, 'exec'), call_stack[-1].globals)
  File ""C:\users\internet\.platformio\platforms\espressif8266@1.5.0\builder\main.py"", line 375:
    target_elf = env.BuildProgram()
  File ""C:\Users\internet\.platformio\packages\tool-scons\script\..\engine\SCons\Environment.py"", line 224:
    return self.method(*nargs, **kwargs)
  File ""C:\users\internet\.platformio\penv\lib\site-packages\platformio\builder\tools\platformio.py"", line 140:
    _build_project_deps(env)
  File ""C:\users\internet\.platformio\penv\lib\site-packages\platformio\builder\tools\platformio.py"", line 48:
    project_lib_builder = env.ConfigureProjectLibBuilder()
  File ""C:\Users\internet\.platformio\packages\tool-scons\script\..\engine\SCons\Environment.py"", line 224:
    return self.method(*nargs, **kwargs)
  File ""C:\users\internet\.platformio\penv\lib\site-packages\platformio\builder\tools\piolib.py"", line 1027:
    project.install_dependencies()
  File ""C:\users\internet\.platformio\penv\lib\site-packages\platformio\builder\tools\piolib.py"", line 859:
    lm.install(uri)
  File ""c:\users\internet\.platformio\penv\lib\site-packages\platformio\managers\lib.py"", line 295:
    pkg_dir = BasePkgManager.install(
  File ""c:\users\internet\.platformio\penv\lib\site-packages\platformio\managers\package.py"", line 696:
    pkg_dir = self._install_from_url(name, url, requirements, track=True)
  File ""c:\users\internet\.platformio\penv\lib\site-packages\platformio\managers\package.py"", line 497:
    return self._install_from_tmp_dir(_tmp_dir, requirements)
  File ""c:\users\internet\.platformio\penv\lib\site-packages\platformio\managers\package.py"", line 583:
    shutil.move(tmp_dir, pkg_dir)
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 793:
    rmtree(src)
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 731:
    return _rmtree_unsafe(path, onerror)
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 604:
    _rmtree_unsafe(fullname, onerror)
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 604:
    _rmtree_unsafe(fullname, onerror)
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 604:
    _rmtree_unsafe(fullname, onerror)
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 609:
    onerror(os.unlink, fullname, sys.exc_info())
  File ""C:\Program Files (x86)\Python38-32\lib\shutil.py"", line 607:
    os.unlink(fullname)
====================================================================================================== [FAILED] Took 5.44 seconds ======================================================================================================

```

If platformio.ini has `lib_deps = ...` with git urls, package installation will fail on `shutil.move` after it copies temporary directory into a package dir and tries to remove that temporary directory.

#### Steps to Reproduce

1. Add some git libraries into the `lib_deps = ...`. ESPurna repo is a general example that has a couple of those.
2. Try to build any environment or `pio lib install` (see the referenced issue)
3. It fails right after the first git library installation. Although, package will be there on the next `pio run` call, because data was already copied before the previous directory caused an error and was not removed.

I cannot reproduce, so cc @davebuk @oscarsan1 @knopserl 

### Actual Results

See above.

### Expected Results

shutil.move fails to rename directories for some reason, I would expect that step to succeed:
https://github.com/python/cpython/blob/fa919fdf2583bdfead1df00e842f24f30b2a34bf/Lib/shutil.py#L780

The specific issue is the `rmtree` inability to remove git object files. This was previously fixed for some parts of the platformio code by adding a custom `fs.rmtree` function that `chmod`'s them via onerror hook, but the original Python function is used by the move (and it cannot be overriden)

### If problems with PlatformIO Build System:

See ESPurna's
https://github.com/xoseperez/espurna/blob/dev/code/platformio.ini

### Additional info
\-","@ivankravets I did not give up and did further testing.
Here are my latest findings: 
When I do a Build task without any environment/device selection it takes the wemos-d1mini-relayshield and that build works. But that default devices seem to do no cloning,
When I use any other devices/env. it fails with the access denied error.

Now I tried your previous recommendation and changed to espurna/code directory and executed:
platformio.exe run --environment blitzwolf-bwshpx
Surprisingly, that worked now too.
So it seem to be a VScode + platformio problem.
Any further ideas how to get that further investigated and solved?
I opened also a new issue/bug in the vscode github project. Let's see if they react and accept this as in vscode issue.",19606299
16,Support for SiLabs stk3701 (efm32gg11),open,2019-12-28T01:27:28Z,2020-01-03T20:01:36Z,,NONE,"Would it be possible to add support for the newer giant gecko chips? I have an Efm32gg11 starter kit, part number slstk3701A, and wish to develop for the EFM32GG11B820F2048GQ64-B chip. It seems to be a newer chip revision than what you currently support.

It's for a student project, and I'm finding simplicity studio to be a bit more resource intensive than platformio.

Thanks for all your work :-)

Scott",,19606299
17,pio remote run -t nobuild -t upload not working,open,2019-12-12T21:52:33Z,2020-02-17T08:17:23Z,,NONE,"# -t nobuild not working on a remote run but works fine on a local run

**Operating system**:  Tested on Windows 10, Ubuntu and Gitpod cloud

**PlatformIO Version** (`platformio --version`):

PlatformIO, version 4.1.0

### Description of problem

""pio remote run -t nobuild -t upload""  not working but 
""pio  run -t nobuild -t upload""   works fine





Community post related to the issue at 

[https://community.platformio.org/t/upload-latest-build-without-a-compile-link/9520/9](https://community.platformio.org/t/upload-latest-build-without-a-compile-link/9520/9)

------------------------------------------------------------------

### Configuration

Normal UNO Arduino setup
Serial proof of upload







#### Steps to Reproduce

1. So running VS-Code local on a windows machine with

pio account login
pio remote agent start


2. Then on a ubuntu laptop running VS-Code upload the original sketch

pio account login
pio remote run -t upload


3. Now change your code to ""version 2!"" and save the file. Then try to upload the old compiled verison 1.

pio remote run -t nobuild -t upload



### Actual Results


Version 2!

### Expected Results

Version 1!

### If problems with PlatformIO Build System:

**The content of `platformio.ini`:**
```ini

[env:uno]
platform = atmelavr
board = uno
framework = arduino

```

**Source file to reproduce issue:**
```cpp

#include <Arduino.h>

void setup() {
	Serial.begin(9600);
}

void loop() {
	Serial.println(""Version 1! "");
	delay(1000);
}

```

### Additional info

Being able to use ""-t nobuild"" can be very useful when you just want to install a pre-tested working program for that board. I can give my students the pre-tested program and not worry if they have made any environment changes that effect the build.

I found this bug when testing with a cloud method using gitpod.io but the bug seems to happen even when using VS Code on 2 local machines.


Gitpod Cloud docker  github of it [my-gitpod-of-openthread](https://github.com/hpssjellis/my-gitpod-of-openthread) 
[![Open in Gitpod](https://gitpod.io/button/open-in-gitpod.svg)](https://gitpod.io#snapshot/fb33bf28-258e-4106-aee1-849e6e0a0934)



","Thanks @ivankravets I tried pio remote run -t nobuild -r? on the cloud server and got this result.
*** [nobuild] Source `.pio/build/nano_33_iot/firmware.bin' not found, needed by target `nobuild'.

The file firmware.bin is definitely in the folder location.
",19606299
18,Support for Logic Green LGT8F328P based boards,open,2019-11-29T09:47:11Z,2020-01-13T05:20:02Z,,NONE,"Hey, I recently came across [these](https://www.aliexpress.com/item/33058909260.html) cool Nano clones that run at 32Mhz and support the arduino core and libraries. They also have a few extra features like 12bit ADC and a DAC. You can program them using the arduino IDE using [this](https://github.com/dbuezas/lgt8fx) super cool resource. 

Since, I moving most of my development to PlatformIO it would be great to know how it can be added. 

",+1,19606299
19,Support for the Tomu board,open,2019-11-27T10:25:37Z,2019-11-28T14:36:32Z,,NONE,"It would be great to see support for the open-hardware [Tomu board](https://tomu.im/tomu.html) which is based on the EFM32. I'm just getting started with PlatformIO, so I don't know how hard that would be or if it is even possible.",,19606299
20,"PIO Remote builds tests and then executes them all, resulting in only the last-built test executing",open,2019-11-12T16:39:12Z,2020-02-14T12:49:53Z,,NONE,"What kind of issue is this?

- [x] **PlatformIO Core**.

### Configuration

**Operating system**: MacOS X

**PlatformIO Version** (`platformio --version`): 4.1.0

### Description of problem
When testing on remote platforms with Teensy, if there are many tests specified for a single environment, the remote agent builds all the tests and then runs them. Unfortunately this only results in a 

See post here: https://community.platformio.org/t/pio-remote-testing-bug/10496

#### Steps to Reproduce

1. Write some unit tests for the Teensy environment and have an environment run all of them
2. Run them on a remote agent: `platformio remote --agent <name> test -e <env>`

### Actual Results
The code for the tests is built in series, but only the test built last is actually uploaded to the device for testing. See
https://travis-ci.org/pathfinder-for-autonomous-navigation/CommonSoftware/jobs/610692665?utm_medium=notification&utm_source=github_status

### Expected Results
The tests are executed one-by-one.

### If problems with PlatformIO Build System:

**The content of `platformio.ini`:**
```ini
[env:teensy]
platform = teensy
board = teensy35
framework = arduino
test_build_project_src = true
src_filter = +<*>
test_filter = *
upload_protocol = teensy-cli
```

### Workaround
Use the `--force-remote` option in the remote test command.",,19606299
21,Request for support to pass extra arguments to the target ,open,2019-10-16T19:09:12Z,2019-10-17T10:26:31Z,,NONE,"**Feature Request**.

I would like to be able to pass extra arguments to a binary e.g. when running on a native platform.

Possible usage, when running [Catch2](https://github.com/catchorg/Catch2) tests:

```
platformio test -e native --extra-args=""[testA][testB]""
```
",,19606299
22,Add support for i.MX RT Series MCUs.,open,2019-10-14T08:01:27Z,2019-10-24T16:07:55Z,,NONE,"Hi:
   I have try to support i.MX RT Series MCUs borad on PlatformIO, And Now The Seeeduino Arch MIX(RT1052) was been support, which using the Arduino framework. And  ubsequent support for more boards, and will support the development of native SDK.
  Below is the address of the project.
  - [platform-nxpimxrt](https://github.com/Seeed-Studio/platform-nxpimxrt)
  - [flash tools](https://github.com/Seeed-Studio/BOSSA)

  Arduino project address

 - [Arduino Core](https://github.com/Seeed-Studio/ArduinoCore-imxrt)

I hope to get your support, thank you.","@ivankravets  Wow, this is a great project. I just need it. Can you integrate this platform into the PlatforIO ?",19606299
23,Replace LDF deep with native GCC Preprocessor,open,2019-10-13T10:19:10Z,2019-10-13T10:19:10Z,,MEMBER,Subj.,,19606299
